# source: http://www.linguistics.ucla.edu/people/hayes/ShakespeareAndMilton/
# author: milton
# title: paradise lost, books 8, 9.
# coder: bruce hayes
1	syllables	NO more of talk where God or Angel Guest	NO	more	of	talk	where	God	or	An	gel	Guest	
2019	syllables	And reasonings, though through Mazes, lead me still	And	rea	so nings,	though	through	Maz	es,	lead	me	still	
2019	stress	And reasonings, though through Mazes, lead me still	1	4	1	1	1	4	1	3	1	3	
2019	juncture	And reasonings, though through Mazes, lead me still	2	1	5	2	2	1	5	2	3	3	
2019	comment	And reasonings, though through Mazes, lead me still											
2020	syllables	But to my own conviction: first and last	But	to	my	own	con	vic	tion:	first	and	last	
2020	stress	But to my own conviction: first and last	1	1	1	3	1	4	1	3	1	3	
2020	juncture	But to my own conviction: first and last	2	2	2	3	1	1	5	4	2	4	
2020	comment	But to my own conviction: first and last											
2021	syllables	On mee, mee onely, as the sourse and spring	On	mee,	mee	one	ly,	as	the	sourse	and	spring	
2021	stress	On mee, mee onely, as the sourse and spring	1	4	3	4	1	1	1	3	1	3	
2021	juncture	On mee, mee onely, as the sourse and spring	2	5	3	1	5	2	2	4	2	3	
2021	comment	On mee, mee onely, as the sourse and spring											
2022	syllables	Of all corruption, all the blame lights due;	Of	all	cor	rup	tion,	all	the	blame	lights	due;	
2022	stress	Of all corruption, all the blame lights due;	1	2	1	4	1	1	1	3	3	4	
2022	juncture	Of all corruption, all the blame lights due;	2	2	1	1	5	2	2	4	3	5	
2022	comment	Of all corruption, all the blame lights due;											
2023	syllables	So might the wrauth. Fond wish! couldst thou support	So	might	the	wrauth.	Fond	wish!	couldst	thou	sup	port	
2023	stress	So might the wrauth. Fond wish! couldst thou support	1	1	1	4	3	4	1	1	1	3	
2023	juncture	So might the wrauth. Fond wish! couldst thou support	2	2	2	5	3	5	2	2	1	3	
2023	comment	So might the wrauth. Fond wish! couldst thou support											
2024	syllables	That burden heavier then the Earth to bear	That	bur	den	hea	vi er	then	the	Earth	to	bear	
2024	stress	That burden heavier then the Earth to bear	1	3	1	3	1	1	1	3	1	4	
2024	juncture	That burden heavier then the Earth to bear	2	1	3	1	3	2	2	4	2	4	
2024	comment	That burden heavier then the Earth to bear											
2025	syllables	Then all the World much heavier, though divided	Then	all	the	World	much	hea	vi er,	though	di	vi	ded
2025	stress	Then all the World much heavier, though divided	1	2	1	3	1	4	1	1	1	3	1
2025	juncture	Then all the World much heavier, though divided	2	2	2	4	2	1	5	2	1	1	3
2025	comment	Then all the World much heavier, though divided											
2026	syllables	With that bad Woman? Thus what thou desir'st,	With	that	bad	Wo	man?	Thus	what	thou	de	sir'st,	
2026	stress	With that bad Woman? Thus what thou desir'st,	1	1	3	4	1	2	1	1	1	4	
2026	juncture	With that bad Woman? Thus what thou desir'st,	2	2	3	1	5	2	2	2	1	5	
2026	comment	With that bad Woman? Thus what thou desir'st,											
2027	syllables	And what thou fearst, alike destroyes all hope	And	what	thou	fearst,	a	like	des	troyes	all	hope	
2027	stress	And what thou fearst, alike destroyes all hope	1	1	1	4	1	3	1	3	1	3	
2027	juncture	And what thou fearst, alike destroyes all hope	2	2	2	5	1	3	1	3	2	3	
2027	comment	And what thou fearst, alike destroyes all hope											
2028	syllables	Of refuge, and concludes thee miserable	Of	re	fuge,	and	con	cludes	thee	mi	se	ra	ble
2028	stress	Of refuge, and concludes thee miserable	1	4	1	1	1	3	1	4	1	2	1
2028	juncture	Of refuge, and concludes thee miserable	2	1	5	2	1	2	3	1	1	1	3
2028	comment	Of refuge, and concludes thee miserable	miserable in Milton: 9 that must be 3121; 7 in final position; 1 that seems like it might not be (milton PL)										
2029	syllables	Beyond all past example and future,	Be	yond	all	past	e	xam	ple	and	fu	ture,	
2029	stress	Beyond all past example and future,	1	2	1	3	1	3	1	1	4	1	
2029	juncture	Beyond all past example and future,	1	2	2	3	1	1	4	2	1	5	
2029	comment	Beyond all past example and future,											
2030	syllables	To Satan only like both crime and doom.	To	Sa	tan	on	ly	like	both	crime	and	doom.	
2030	stress	To Satan only like both crime and doom.	1	3	1	3	1	4	1	3	1	4	
2030	juncture	To Satan only like both crime and doom.	2	1	4	1	4	3	3	4	2	5	
2030	comment	To Satan only like both crime and doom.											
2031	syllables	O Conscience, into what Abyss of fears	O	Cons	cience,	in	to	what	A	byss	of	fears	
2031	stress	O Conscience, into what Abyss of fears	1	4	1	2	1	1	1	3	1	3	
2031	juncture	O Conscience, into what Abyss of fears	2	1	5	1	2	2	1	3	2	4	
2031	comment	O Conscience, into what Abyss of fears	into in Milton: 44 WS; 32 SW; 62 postpausal.  All but 2 of the SW are in RR contexts.  Shakespeare is similar.										
2032	syllables	And horrors hast thou driv'n me; out of which	And	hor	rors	hast	thou	driv'n	me;	out	of	which	
2032	stress	And horrors hast thou driv'n me; out of which	1	3	1	1	1	4	1	3	1	2	
2032	juncture	And horrors hast thou driv'n me; out of which	2	1	4	2	2	2	5	2	2	3	
2032	comment	And horrors hast thou driv'n me; out of which											
2033	syllables	I find no way, from deep to deeper plung'd!	I	find	no	way,	from	deep	to	dee	per	plung'd!	
2033	stress	I find no way, from deep to deeper plung'd!	1	3	1	4	1	3	1	3	1	4	
2033	juncture	I find no way, from deep to deeper plung'd!	2	3	2	5	2	4	2	1	4	5	
2033	comment	I find no way, from deep to deeper plung'd!											
2034	syllables	Thus Adam to himself lamented loud	Thus	A	dam	to	him	self	la	men	ted	loud	
2034	stress	Thus Adam to himself lamented loud	1	3	1	1	1	3	1	3	1	4	
2034	juncture	Thus Adam to himself lamented loud	2	1	4	2	1	4	1	1	3	4	
2034	comment	Thus Adam to himself lamented loud											
2035	syllables	Through the still Night, not now, as ere man fell,	Through	the	still	Night,	not	now,	as	ere	man	fell,	
2035	stress	Through the still Night, not now, as ere man fell,	1	1	3	4	1	4	1	1	3	4	
2035	juncture	Through the still Night, not now, as ere man fell,	2	2	3	5	2	5	2	3	4	5	
2035	comment	Through the still Night, not now, as ere man fell,											
2036	syllables	Wholsom and cool, and mild, but with black Air	Whol	som	and	cool,	and	mild,	but	with	black	Air	
2036	stress	Wholsom and cool, and mild, but with black Air	3	1	1	4	1	4	1	1	3	4	
2036	juncture	Wholsom and cool, and mild, but with black Air	1	4	2	5	2	5	2	2	3	4	
2036	comment	Wholsom and cool, and mild, but with black Air											
2037	syllables	Accompanied, with damps and dreadful gloom,	Ac	com	pa	nied,	with	damps	and	dread	ful	gloom,	
2037	stress	Accompanied, with damps and dreadful gloom,	1	4	1	1	1	3	1	3	1	4	
2037	juncture	Accompanied, with damps and dreadful gloom,	1	1	1	5	2	4	2	1	3	5	
2037	comment	Accompanied, with damps and dreadful gloom,											
2038	syllables	Which to his evil Conscience represented	Which	to	his	e	vil	Cons	cience	re	pre	sen	ted
2038	stress	Which to his evil Conscience represented	1	1	1	3	1	4	1	2	1	4	1
2038	juncture	Which to his evil Conscience represented	2	2	2	1	3	1	4	1	1	1	3
2038	comment	Which to his evil Conscience represented	evil in Milton: >25 WS in full position; >10 in final position; 8 that aren't obvious, most can undergo paraphonology with neighboring syllable.  BH I assume you mean WS!										
2039	syllables	All things with double terror: On the ground	All	things	with	dou	ble	ter	ror:	On	the	ground	
2039	stress	All things with double terror: On the ground	3	2	1	3	1	4	1	1	1	3	
2039	juncture	All things with double terror: On the ground	2	4	2	1	3	1	5	2	2	4	
2039	comment	All things with double terror: On the ground	all things in Milton: >30 SW: 12 RR ;5 postpausal; acts as compound										
2040	syllables	Outstretcht he lay, on the cold ground, and oft	Out	stretcht	he	lay,	on	the	cold	ground,	and	oft	
2040	stress	Outstretcht he lay, on the cold ground, and oft	2	3	1	4	1	1	3	4	1	3	
2040	juncture	Outstretcht he lay, on the cold ground, and oft	2	4	2	5	2	2	3	5	2	3	
2040	comment	Outstretcht he lay, on the cold ground, and oft											
2041	syllables	Curs'd his Creation, Death as oft accus'd	Curs'd	his	Cre	a	tion,	Death	as	oft	ac	cus'd	
2041	stress	Curs'd his Creation, Death as oft accus'd	3	1	1	4	1	3	1	3	1	4	
2041	juncture	Curs'd his Creation, Death as oft accus'd	3	2	1	1	5	4	2	4	1	3	
2041	comment	Curs'd his Creation, Death as oft accus'd											
2042	syllables	Of tardie execution, since denounc't	Of	tar	die	e	xe	cu	tion,	since	de	nounc't	
2042	stress	Of tardie execution, since denounc't	1	3	1	2	1	4	1	1	1	3	
2042	juncture	Of tardie execution, since denounc't	2	1	3	1	1	1	5	2	1	3	
2042	comment	Of tardie execution, since denounc't											
2043	syllables	The day of his offence. Why comes not Death,	The	day	of	his	of	fence.	Why	comes	not	Death,	
2043	stress	The day of his offence. Why comes not Death,	1	3	1	1	1	4	2	3	1	4	
2043	juncture	The day of his offence. Why comes not Death,	2	3	2	2	1	5	2	2	3	5	
2043	comment	The day of his offence. Why comes not Death,											
2044	syllables	Said hee, with one thrice acceptable stroke	Said	hee,	with	one	thrice	ac	cep	ta	ble	stroke	
2044	stress	Said hee, with one thrice acceptable stroke	3	4	1	3	3	3	1	2	1	4	
2044	juncture	Said hee, with one thrice acceptable stroke	3	5	2	3	3	1	1	1	4	4	
2044	comment	Said hee, with one thrice acceptable stroke	acceptable in Milton: 4 cases of 3121; 0 cases of 1311										
2045	syllables	To end me? Shall Truth fail to keep her word,	To	end	me?	Shall	Truth	fail	to	keep	her	word,	
2045	stress	To end me? Shall Truth fail to keep her word,	1	4	1	1	3	3	1	3	1	4	
2045	juncture	To end me? Shall Truth fail to keep her word,	2	2	5	2	4	3	2	3	2	5	
2045	comment	To end me? Shall Truth fail to keep her word,											
2046	syllables	Justice Divine not hast'n to be just?	Jus	tice	Di	vine	not	hast'	n	to	be	just?	
2046	stress	Justice Divine not hast'n to be just?	3	1	1	4	1	3	1	1	1	4	
2046	juncture	Justice Divine not hast'n to be just?	1	3	1	4	2	1	3	2	2	5	
2046	comment	Justice Divine not hast'n to be just?											
2047	syllables	But Death comes not at call, Justice Divine	But	Death	comes	not	at	call,	Jus	tice	Di	vine	
2047	stress	But Death comes not at call, Justice Divine	1	3	3	1	1	4	3	1	1	4	
2047	juncture	But Death comes not at call, Justice Divine	2	4	2	3	2	5	1	3	1	4	
2047	comment	But Death comes not at call, Justice Divine											
2048	syllables	Mends not her slowest pace for prayers or cries.	Mends	not	her	slo	west	pace	for	prayers	or	cries.	
2048	stress	Mends not her slowest pace for prayers or cries.	3	1	1	3	1	4	1	3	1	4	
2048	juncture	Mends not her slowest pace for prayers or cries.	2	3	2	1	3	4	2	4	2	5	
2048	comment	Mends not her slowest pace for prayers or cries.											
2049	syllables	O Woods, O Fountains, Hillocks, Dales and Bowrs,	O	Woods,	O	Foun	tains,	Hil	locks,	Dales	and	Bowrs,	
2049	stress	O Woods, O Fountains, Hillocks, Dales and Bowrs,	1	4	1	4	1	4	1	3	1	4	
2049	juncture	O Woods, O Fountains, Hillocks, Dales and Bowrs,	2	5	2	1	5	1	5	4	2	5	
2049	comment	O Woods, O Fountains, Hillocks, Dales and Bowrs,											
2050	syllables	With other echo late I taught your Shades	With	o	ther	e	cho	late	I	taught	your	Shades	
2050	stress	With other echo late I taught your Shades	1	4	1	3	1	3	1	3	1	3	
2050	juncture	With other echo late I taught your Shades	2	1	3	1	4	3	2	3	2	4	
2050	comment	With other echo late I taught your Shades											
2051	syllables	To answer, and resound farr other Song.	To	ans	wer,	and	re	sound	farr	o	ther	Song.	
2051	stress	To answer, and resound farr other Song.	1	4	1	1	1	3	2	3	1	4	
2051	juncture	To answer, and resound farr other Song.	2	1	5	2	1	3	3	1	4	5	
2051	comment	To answer, and resound farr other Song.											
2052	syllables	Whom thus afflicted when sad Eve beheld,	Whom	thus	aff	lic	ted	when	sad	Eve	be	held,	
2052	stress	Whom thus afflicted when sad Eve beheld,	1	1	1	3	1	1	3	4	1	4	
2052	juncture	Whom thus afflicted when sad Eve beheld,	3	2	1	1	4	2	3	4	1	5	
2052	comment	Whom thus afflicted when sad Eve beheld,											
2053	syllables	Desolate where she sate, approaching nigh,	De	so	late	where	she	sate,	ap	proa	ching	nigh,	
2053	stress	Desolate where she sate, approaching nigh,	3	1	1	1	1	4	1	3	1	4	
2053	juncture	Desolate where she sate, approaching nigh,	1	1	4	2	2	5	1	1	3	5	
2053	comment	Desolate where she sate, approaching nigh,											
2054	syllables	Soft words to his fierce passion she assay'd:	Soft	words	to	his	fierce	pas	sion	she	as	say'd:	
2054	stress	Soft words to his fierce passion she assay'd:	3	3	1	1	3	4	1	1	1	4	
2054	juncture	Soft words to his fierce passion she assay'd:	3	4	2	2	3	1	4	2	1	5	
2054	comment	Soft words to his fierce passion she assay'd:											
2055	syllables	But her with stern regard he thus repell'd.	But	her	with	stern	re	gard	he	thus	re	pell'd.	
2055	stress	But her with stern regard he thus repell'd.	1	1	1	3	1	4	1	2	1	4	
2055	juncture	But her with stern regard he thus repell'd.	2	2	2	3	1	4	2	2	1	5	
2055	comment	But her with stern regard he thus repell'd.											
2056	syllables	Out of my sight, thou Serpent, that name best	Out	of	my	sight,	thou	Ser	pent,	that	name	best	
2056	stress	Out of my sight, thou Serpent, that name best	3	1	1	4	1	4	1	1	3	3	
2056	juncture	Out of my sight, thou Serpent, that name best	3	2	2	5	2	1	5	2	4	3	
2056	comment	Out of my sight, thou Serpent, that name best											
2057	syllables	Befits thee with him leagu'd, thy self as false	Be	fits	thee	with	him	leagu'd,	thy	self	as	FALSE	
2057	stress	Befits thee with him leagu'd, thy self as false	1	3	1	1	1	4	1	3	1	3	
2057	juncture	Befits thee with him leagu'd, thy self as false	1	2	3	2	3	5	2	4	2	4	
2057	comment	Befits thee with him leagu'd, thy self as false											
2058	syllables	And hateful; nothing wants, but that thy shape,	And	hate	ful;	no	thing	wants,	but	that	thy	shape,	
2058	stress	And hateful; nothing wants, but that thy shape,	1	4	1	3	1	4	1	1	1	4	
2058	juncture	And hateful; nothing wants, but that thy shape,	2	1	5	1	4	5	2	2	2	5	
2058	comment	And hateful; nothing wants, but that thy shape,											
2059	syllables	Like his, and colour Serpentine may shew	Like	his,	and	co	lour	Ser	pen	tine	may	shew	
2059	stress	Like his, and colour Serpentine may shew	1	4	1	3	1	4	1	1	1	3	
2059	juncture	Like his, and colour Serpentine may shew	2	5	2	1	3	1	1	4	2	3	
2059	comment	Like his, and colour Serpentine may shew											
2060	syllables	Thy inward fraud, to warn all Creatures from thee	Thy	in	ward	fraud,	to	warn	all	Crea	tures	from	thee
2060	stress	Thy inward fraud, to warn all Creatures from thee	1	3	1	4	1	3	1	3	1	2	1
2060	juncture	Thy inward fraud, to warn all Creatures from thee	2	1	3	5	2	3	2	1	4	2	5
2060	comment	Thy inward fraud, to warn all Creatures from thee											
2061	syllables	Henceforth; least that too heav'nly form, pretended	Hence	forth;	least	that	too	heav'n	ly	form,	pre	ten	ded
2061	stress	Henceforth; least that too heav'nly form, pretended	2	4	2	1	1	3	1	4	1	3	1
2061	juncture	Henceforth; least that too heav'nly form, pretended	2	5	2	2	2	1	4	5	1	1	3
2061	comment	Henceforth; least that too heav'nly form, pretended	henceforth in Milton: 13 postpausal, 5 WS, 4 SW; OED says either one okay.										
2062	syllables	To hellish falshood, snare them. But for thee	To	hel	lish	fals	hood,	snare	them.	But	for	thee	
2062	stress	To hellish falshood, snare them. But for thee	1	3	1	4	1	4	1	1	1	3	
2062	juncture	To hellish falshood, snare them. But for thee	2	1	3	1	5	2	5	2	2	4	
2062	comment	To hellish falshood, snare them. But for thee											
2063	syllables	I had persisted happie, had not thy pride	I	had	per	sis	ted	hap	pie, had	not	thy	pride	
2063	stress	I had persisted happie, had not thy pride	1	1	1	3	1	4	1	1	1	3	
2063	juncture	I had persisted happie, had not thy pride	2	2	1	1	3	1	2	2	2	4	
2063	comment	I had persisted happie, had not thy pride											
2064	syllables	And wandring vanitie, when lest was safe,	And	wan	dring	va	ni	tie,	when	lest	was	safe,	
2064	stress	And wandring vanitie, when lest was safe,	1	3	1	4	1	1	1	2	1	4	
2064	juncture	And wandring vanitie, when lest was safe,	2	1	3	1	1	5	2	3	2	5	
2064	comment	And wandring vanitie, when lest was safe,											
2065	syllables	Rejected my forewarning, and disdain'd	Re	jec	ted	my	fore	war	ning,	and	dis	dain'd	
2065	stress	Rejected my forewarning, and disdain'd	1	3	1	1	1	4	1	1	1	3	
2065	juncture	Rejected my forewarning, and disdain'd	1	1	3	2	1	1	5	2	1	2	
2065	comment	Rejected my forewarning, and disdain'd											
2066	syllables	Not to be trusted, longing to be seen	Not	to	be	trus	ted,	lon	ging	to	be	seen	
2066	stress	Not to be trusted, longing to be seen	1	1	1	4	1	3	1	1	1	4	
2066	juncture	Not to be trusted, longing to be seen	3	2	2	1	5	1	3	2	2	4	
2066	comment	Not to be trusted, longing to be seen											
2067	syllables	Though by the Devil himself, him overweening	Though	by	the	De vil	him	self,	him	o	ver	wee	ning
2067	stress	Though by the Devil himself, him overweening	1	1	1	3	1	4	1	2	1	3	1
2067	juncture	Though by the Devil himself, him overweening	2	2	2	3	1	5	3	1	1	1	4
2067	comment	Though by the Devil himself, him overweening											
2068	syllables	To over-reach, but with the Serpent meeting	To	o	ver-	reach,	but	with	the	Ser	pent	mee	ting
2068	stress	To over-reach, but with the Serpent meeting	1	2	1	4	1	1	1	3	1	4	1
